Gene,Freq,wes,rna
NDC1,0.032258064516129,1,0
MUC4,0.032258064516129,1,0
CIC,0.032258064516129,1,0
MUC17,0.032258064516129,1,0
CSF3R,0.032258064516129,1,0
GAS7,0.032258064516129,1,0
PAFAH1B2,0.032258064516129,1,0
MAGEC1,0.032258064516129,1,0
LZTR1,0.032258064516129,1,0
CSMD3,0.032258064516129,1,0
PLCB4,0.032258064516129,1,0
CUX1,0.032258064516129,1,0
MSH2,0.032258064516129,1,0
PRDM16,0.032258064516129,1,0
DROSHA,0.032258064516129,1,0
DICER1,0.032258064516129,1,0
KMT2C,0.032258064516129,1,0
CBLB,0.032258064516129,1,0
MSH6,0.032258064516129,1,0
